what,what time is it,success,05/26/20|20:18:30
where,where am i,success,05/26/20|20:18:42
how,how do you make a popcorn,success,05/26/20|20:19:09
this,this is an invalid command,unknown,05/26/20|20:19:25
show,show me magi,success,06/02/20|19:59:10
what,what is 4 times 2,success,06/02/20|19:59:21
exit,exit,unknown,06/02/20|20:03:02
ss,ss,unknown,06/02/20|20:03:11
sd,sd,unknown,06/02/20|20:03:12
d,d,unknown,06/02/20|20:03:13
e,e,unknown,06/02/20|20:03:13
what,What time is it,success,06/02/20|20:03:53
show,Show me my photos with Rocky,success,06/02/20|20:06:06
how,How many A380s does Emirates operate,success,06/02/20|20:08:55
what,what is it,success,06/02/20|20:09:38
what,what time is it in India,success,06/02/20|20:15:41
start,start the program,success,06/03/20|17:25:06
show,show me about silicon valley,success,06/03/20|17:27:47
what,what is  the silicon valley,success,06/03/20|17:27:59
where,where google.com,success,06/03/20|17:29:22
what,what show me photos of doors,success,06/03/20|17:29:50
what,what show me photos of my door,success,06/03/20|17:30:07
show,show me photos of my dog,success,06/03/20|17:53:16
stop,STOP,unknown,06/12/20|05:05:13
what,What time is it?,success,06/12/20|05:07:21
who,Who is Julius Caesar?,success,06/12/20|05:09:30
search,search images for Mercedes Benz E Class,success,06/12/20|05:10:48
where,Where is Schrodinger's cat?,success,06/12/20|05:12:10
where,Where is the first wonder of the world,success,06/12/20|05:15:02
start,Start a 10 minute timer,success,06/12/20|05:15:42
what,what is my localhost,success,06/12/20|05:19:15
what,what is my ip address?,success,06/12/20|05:19:40
wrlwe,wrlwe,unknown,06/12/20|15:40:38
karatam,Karatam,unknown,06/12/20|15:56:22
any,Any  facebook updates?,unknown,06/12/20|15:59:13
where,Where is the white house?,success,06/12/20|16:39:45
send,send a message,unknown,06/12/20|19:49:53
welcome,Welcome to ice,unknown,06/17/20|14:24:24
add,Add a reminder to my calendar,unknown,06/17/20|15:29:04
what,What airlines fly to Hyderabad?,success,06/17/20|16:05:27
show,Show my photos of my 1st birthday,success,06/17/20|16:20:57
play,play alesso_escape,success,06/17/20|17:04:55
show,show me photos of ,success,06/17/20|19:45:44
show,show,success,06/17/20|19:46:16
https://www.merriam-webster.com/thesaurus/menu,https://www.merriam-webster.com/thesaurus/menu,unknown,06/17/20|20:01:31
who,who is gandhi?,success,08/24/20|09:01:41
open,open photos,success,08/24/20|09:04:51
where,where is rgi,success,08/24/20|09:05:07
photos,photos,unknown,08/24/20|09:07:57
what,what time is it in russia,success,08/24/20|09:10:34
